id,adm1_code,name,sq miles,population,NumNatParks,NumStateParks,PercStatePark,PercNatPark,PercAreaFedAndState,EndangeredSpeciesLsted,PercAreaFed,PercAreaState,TribalLands
30,USA_0031,New Jersey,"8,722.58","8,882,190",0,50,7.28,0,17.71,16,2.13,15.58,0
31,USA_0032,New Mexico,"121,590.30","2,096,829",1,34,0.12,0.06,40.62,53,29.42,11.2,7522.6
32,USA_0033,New York,"54,554.98","19,453,561",0,215,1.09,0,36.97,24,0.26,36.71,118.2
33,USA_0034,North Carolina,"53,819.16","10,488,084",1,41,0.63,0.82,6.99,67,6.56,0.44,56.6
34,USA_0035,North Dakota,"70,698.32","762,062",1,20,0.63,0.82,4.95,8,3.11,1.84,214.6
35,USA_0036,Ohio,"44,825.58","11,689,100",1,75,0.64,0.12,2.59,26,0.98,1.61,0
36,USA_0037,Oklahoma,"69,898.87","3,956,971",0,39,0.13,0,2.29,20,1.3,0.99,99.1
37,USA_0038,Oregon,"98,378.54","4,217,737",1,195,0.16,0.29,31.58,40,26.7,4.88,660.7
38,USA_0039,Pennsylvania,"46,054.34","12,801,989",0,121,1.02,0,14.74,15,1.99,12.75,0
39,USA_0040,Rhode Island,"1,544.89","1,059,361",0,15,0.84,0,9.14,8,0.25,8.9,1.8
40,USA_0041,South Carolina,"32,020.49","5,148,714",1,47,0.04,0.13,5.19,36,4.12,1.07,0
41,USA_0042,South Dakota,"77,115.68","884,659",2,63,0.21,0.56,7.53,14,7.35,0.19,2401.1
42,USA_0043,Tennessee,"42,144.25","6,833,174",1,56,0.78,0.9,10.67,107,4.14,6.53,0
43,USA_0044,Texas,"268,596.46","28,995,881",2,99,0.43,0.52,1.92,102,1.43,0.49,4.6
44,USA_0045,Utah,"84,896.88","3,205,958",5,44,0.26,1.54,70.4,41,63.12,7.27,2286.5
46,USA_0046,Vermont,"9,616.36","623,989",0,58,0.84,0,8.21,6,6.6,1.61,0
45,USA_0047,Virginia,"42,774.93","8,535,519",1,37,0.25,0.74,9.67,75,8.3,1.37,0
47,USA_0048,Washington,"71,297.95","7,614,893",3,212,0.25,3.68,36.41,29,27.34,9.07,2101
50,USA_0049,West Virginia,"24,230.04","1,787,147",0,45,0.95,0,9.92,28,7.01,2.91,0
49,USA_0050,Wisconsin,"65,496.38","5,822,434",0,76,1.95,0,16.21,24,5.72,10.49,338.1
51,USA_0051,Wyoming,"97,813.01","578,759",2,31,0.19,3.9,54.65,15,48.43,6.22,1909.4
